label,timestamp,lineage,run_dir,reward_weight_count
R75,2026-06-04 03:21:48,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_03-21-48_v3_dense_target_linear_from_20260531_211435_m300_to_800_save25_20260604,61
R76,2026-06-04 01:33:56,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_01-33-56_v3_dense_target_location_m799_to_800_20260604,61
R77,2026-06-04 01:20:16,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_01-20-16_v3_dense_target_location_from_300_to_800_save25_corrected_20260604,61
R78,2026-06-04 01:15:49,v3,logs/rsl_rl/kbot_forward_flat/2026-06-04_01-15-49_v3_dense_target_location_from_300_to_800_save25_20260604,61
R79,2026-06-03 23:41:50,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_23-41-50_v3_m800_to_2000_overclearance020_repeat_from_232317_20260603,59
R80,2026-06-03 23:23:17,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_23-23-17_v3_m300_to_800_overclearance020_repeat_from_211435_20260603,59
R81,2026-06-03 22:44:16,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_22-44-16_v3_m300_to_800_overclearance020_from_211435_20260603,59
R82,2026-06-03 22:08:46,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_22-08-46_v3_m2100_to_2500_from_215644_lowbody065_repeat_20260603,59
R83,2026-06-03 21:56:44,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_21-56-44_v3_m2000_to_2100_from_185253_lowbody065_repeat_20260603,59
R84,2026-06-03 21:20:34,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_21-20-34_v3_m2100_to_2500_from_210633_lowbody065_20260603,59
R85,2026-06-03 21:06:33,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_21-06-33_v3_m2000_to_2100_from_185253_lowbody065_20260603,59
R86,2026-06-03 20:18:22,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_20-18-22_v3_m800_to_2000_lowbody065_20260603,59
R87,2026-06-03 19:58:55,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_19-58-55_v3_m300_to_800_lowbody065_20260603,59
R88,2026-06-03 18:52:53,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_18-52-53_v3_m800_to_2000_save25_repeat_20260603,59
R89,2026-06-03 17:55:02,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_17-55-02_v3_m300_to_800_save25_repeat_20260603,59
R90,2026-06-03 04:15:15,v3,logs/rsl_rl/kbot_forward_flat/2026-06-03_04-15-15_v3_adaptive_cycle_ema_from_20260531_211435_m300_to_800_save25_corrected_20260603,59
